Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2022.10.10 10:45:49;Sell;0.1;XAUUSD;1684.02;0.1;2022.10.10 12:23:05;1681.14;;;28.8
2022.10.06 13:15:51;Sell;0.1;GBPUSD;1.12578;0.1;2022.10.06 17:15:25;1.1228;;;29.8
2022.10.06 13:07:33;Sell;0.1;XAUUSD;1715.77;0.1;2022.10.06 17:15:24;1711.75;;;40.2
2022.10.05 19:11:36;Buy;0.1;GBPUSD;1.12886;0.1;2022.10.06 02:40:10;1.13443;;-1.31;55.7
2022.10.05 19:12:37;Buy;0.1;XAUUSD;1709.11;0.1;2022.10.06 02:39:59;1718.69;;-0.64;95.8
2022.10.05 10:03:34;Sell;0.1;GBPUSD;1.14631;0.1;2022.10.05 12:39:48;1.14046;;;58.5
2022.10.05 10:06:07;Sell;0.1;XAUUSD;1723.39;0.1;2022.10.05 12:36:24;1713.7;;;96.9
2022.10.04 11:53:00;Buy;0.1;GBPUSD;1.13755;0.1;2022.10.04 17:50:48;1.14026;;;27.1
2022.10.04 11:53:09;Buy;0.1;XAUUSD;1708.22;0.1;2022.10.04 17:50:35;1721.31;;;130.9
2022.10.03 18:25:51;Sell;0.1;XAUUSD;1690.93;0.1;2022.10.03 19:06:26;1691.39;;;-4.6
2022.10.03 18:26:33;Sell;0.1;GBPUSD;1.13082;0.1;2022.10.03 19:05:56;1.1276;;;32.2
2022.10.03 04:47:03;Buy;0.1;XAUUSD;1669.06;0.1;2022.10.03 17:03:56;1674.19;;;51.3
2022.10.03 10:26:13;Buy;0.1;GBPUSD;1.12027;0.1;2022.10.03 17:03:49;1.12547;;;52
2022.10.03 12:56:18;Buy;0.1;EURUSD;0.9761;0.1;2022.10.03 17:03:33;0.97956;;;34.6
2022.10.03 09:13:05;Buy;0.1;XAUUSD;1667.89;0.1;2022.10.03 17:03:12;1674.11;;;62.2
2022.10.03 11:07:24;Buy;0.1;XAUUSD;1661.62;0.1;2022.10.03 17:02:22;1672.75;;;111.3
2022.10.03 10:47:02;Buy;0.1;EURUSD;0.98169;0.1;2022.10.03 12:44:04;0.97682;;;-48.7
2022.10.03 09:14:35;Buy;0.1;GBPUSD;1.12638;0.1;2022.10.03 09:44:48;1.11798;;;-84
2022.10.03 04:47:44;Buy;0.1;GBPUSD;1.11559;0.1;2022.10.03 09:09:27;1.12549;;;99
2022.09.30 13:48:00;Sell;0.1;GBPUSD;1.10778;0.1;2022.10.03 00:27:25;1.11896;;-0.39;-111.8
